REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC,RANKING,RANGOS
BIOBÍO,LOS ÁNGELES,0.7343,0.1822,0.7751,0.4698,74,Medio
RM,PEDRO AGUIRRE CERDA,0.9207,0.1749,0.6387,0.4685,75,Medio
RM,CONCHALÍ,0.9170,0.1731,0.6389,0.4663,76,Medio
MAGALLANES,PORVENIR,0.9243,0.1707,0.6133,0.4592,77,Medio
LOS LAGOS,FUTALEUFÚ,0.7440,0.2077,0.6154,0.4565,78,Medio
VALPARAÍSO,LIMACHE,0.9015,0.1564,0.6696,0.4554,79,Medio
RM,EL BOSQUE,0.9162,0.1409,0.7226,0.4535,80,Medio
BIOBÍO,PENCO,0.9052,0.1543,0.6643,0.4527,81,Medio
BIOBÍO,HUALPÉN,0.9191,0.1298,0.7545,0.4481,82,Medio
VALPARAÍSO,LA CRUZ,0.8996,0.1669,0.5960,0.4473,83,Medio
ARAUCANÍA,ANGOL,0.8443,0.1347,0.7862,0.4471,84,Medio
BIOBÍO,CURANILAHUE,0.8606,0.1575,0.6577,0.4467,85,Medio
RM,LAMPA,0.8442,0.1708,0.6154,0.4461,86,Medio
BIOBÍO,LOTA,0.8283,0.1639,0.6475,0.4446,87,Medio
RM,CALERA DE TANGO,0.8458,0.1436,0.7086,0.4415,88,Medio
ATACAMA,DIEGO DE ALMAGRO,0.8880,0.1465,0.6599,0.4411,89,Medio
BIOBÍO,TOMÉ,0.8520,0.1584,0.6330,0.4404,90,Medio
RM,PADRE HURTADO,0.8551,0.1419,0.7037,0.4403,91,Medio
RM,SAN RAMÓN,0.9345,0.1392,0.6509,0.4392,92,Medio
BIOBÍO,ARAUCO,0.7777,0.1412,0.7678,0.4384,93,Medio
ATACAMA,VALLENAR,0.8466,0.1305,0.7619,0.4382,94,Medio
VALPARAÍSO,CASABLANCA,0.8469,0.1338,0.7241,0.4346,95,Medio
O'HIGGINS,SAN VICENTE,0.8882,0.1327,0.6949,0.4343,96,Medio
LOS RÍOS,LA UNIÓN,0.7308,0.1373,0.7898,0.4295,97,Medio
ANTOFAGASTA,TOCOPILLA,0.8682,0.1428,0.6380,0.4292,98,Medio
MAULE,PARRAL,0.7907,0.1442,0.6837,0.4272,99,Medio
RM,LA GRANJA,0.9359,0.1284,0.6462,0.4266,100,Medio
COQUIMBO,OVALLE,0.8733,0.1154,0.7591,0.4245,101,Medio
BIOBÍO,LEBU,0.8371,0.1438,0.6348,0.4244,102,Medio
MAGALLANES,PRIMAVERA,0.6325,0.1962,0.6139,0.4239,103,Medio
